EventId,EventTemplate,Occurrences
f15c1cae,Content,1
e17b68d6,Workload started!,876
96691030,Create image <*>,876
f7725eaf,openstack image create --public --disk-format qcow2 --container-format bare --file cirros-0.4.0-x86_64-disk.img <*>,1752
9125862b,GET <*> v3,41537
482c7d15,POST <*> v3 auth tokens,87102
b2c92d46,Using the in-process token cache is deprecated as of the 4.2.0 release and may be removed in the 5.0.0 release or the 'O' development cycle. The in-process cache causes inconsistent results and high memory usage. When the feature is removed the auth_token middleware will not cache tokens by default which may result in performance issues. It is recommended to use memcache for the auth_token token cache by setting the memcached_servers option.,8434
bfcb41c6,GET 10.0.20.24:35357,2143
8aa0fa07,POST <*> v2.0 tokens,8180
3dc1e63c,GET <*> v3 <*> <*>,121473
e46a9e11,"""""""GET v2 <*> <*> HTTP 1.1"""" <*> <*> <*>",26154
b8be6124,"""""""POST v2 images HTTP 1.1"""" 201 867 <*>",876
32433681,"""""""PUT v2 images <*> file HTTP 1.1"""" 204 213 <*>",876
a2773886,<*> image is not in ACTIVE state (status 1)!...retry (#0) wait: 0 sec,876
9a0fd529,"""""""GET v2 <*> HTTP 1.1"""" <*> <*> <*>",4684
9abf2249,<*> image is ACTIVE...great!,876
5faa897d,Create keypair <*>,876
97b4a7ff,openstack keypair create --public-key tmp <*> <*>,1746
1e7c6fb2,"""10.0.20.24 """"GET <*> <*> <*> <*> status: 200 len: <*> <*> <*>",139
25df7a74,Final resource view: name=localhost.localdomain phys_ram=16383MB <*> phys_disk=143GB <*> total_vcpus=8 <*> pci_stats=,7680
8779390e,"""Option """"driver"""" from group """"token"""" is deprecated for removal. Its value may be silently ignored in the future.""",8139
2e820dd1,"<*> """"POST <*> <*> <*> HTTP 1.1"""" status: <*> len: <*> time: <*>",7522
133ead9c,<*> key-pair is not still created (status 1)!...retry (#0) wait: 0 sec,1746
ab25b280,Total expired tokens removed: 0,7925
4a47a7d6,Unique keys not in sort_keys. The sorting order may be unstable.,1746
0340ec46,"<*> """"GET <*> <*> <*> HTTP 1.1"""" status: <*> len: <*> time: <*>",53822
9a01a906,<*> key-pair was created successfully...great!,873
e58944a5,Create security group with SSH enabled,873
fae841a5,openstack security group <*> <*>,3094
7f748d7c,"<*> """"GET <*> <*> status: 200 len: <*> <*> <*>",18069
a25baed4,Loaded quota_driver: <neutron.db.quota.driver.DbQuotaDriver object at <*>,2702
a8538376,Security group rule updated,8133
c926a331,"<*> """"POST v2.0 <*> HTTP 1.1"""" status: 201 len: <*> time: <*>",5901
e939f1ee,openstack security group rule create --proto tcp --dst-port 22 <*>,1746
72812c01,show failed (client error): The resource could not be found.,7459
14267f72,<*> security group was created successfully...great!,873
5ee93470,openstack network set --external public,1746
5aa9b8bc,GET failed (client error): The resource could not be found.,6432
5258d759,openstack network <*> <*>,3094
40dc96e4,Added segment <*> of type vxlan for network <*>,873
e6eb2710,<*> private network is not in ACTIVE state (status <*> <*> wait: <*> sec,874
8f3fa71e,Successfully synced instances from host 'localhost.localdomain'.,3811
0b99a07f,<*> network is ACTIVE...great!,873
6c8fcfb3,Create subnet <*> on network <*> with range <*> 24'...,873
a15c1395,openstack subnet create --subnet-range <*> 24 --network <*> --dns-nameserver 8.8.4.4 <*>,1746
a9bb7399,<*> private subnet is still not created (status 1)!...retry (#0) wait: 0 sec,873
cbb184dd,},7917
3777cf52,Assigning <*> as local vlan for <*>,985
9371d7a2,),8949
756e8658,Skipping ARP spoofing rules for port <*> because it has port security disabled,5285
34d55132,", tenant_id = <*> updated_at = <*>",6794
c2702041,completed.,11460
94cdcc95,Refresh firewall rules,3975
fe21cd54,"<*> """"GET <*> <*> <*> <*> HTTP 1.1"""" status: <*> len: <*> time: <*>",36734
ed2d6c7d,<*> private subnet is created...great!,873
98ac476e,Create router <*> for instance <*>,873
5dc0e1b6,openstack router <*> <*>,3094
ec9e91c6,<*> router is not in ACTIVE state (status unknown)!...retry (#0) wait: 0 sec,873
2ae44b83,<*> router is ACTIVE...great!,873
23338614,<*> router has still no interfaces on <*> (status 1)!...retry (#0) wait: 0 sec,873
8df33b2f,openstack router <*> <*> tempest-router-1529976062 <*>,4
2e051749,"<*> """"PUT v2.0 routers <*> <*> HTTP 1.1"""" status: 200 len: 508 time: <*>",1547
ec0dc25f,was added to <*>,873
0b41af55,neutron router-gateway-set <*> public,1746
8eb6c337,"""Option """"admin_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.). Its value may be silently ignored in the future.""",173
60f527e7,"""Option """"admin_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.). Its value may be silently ignored in the future.""",166
f8672e1d,"""Option """"public_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"public_bind_host"""" from group """"eventlet_server"""".""",79
8012b97b,"""Option """"public_bind_host"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.). Its value may be silently ignored in the future.""",163
313300ec,"""Option """"public_port"""" from group """"eventlet_server"""" is deprecated for removal (Support for running keystone under eventlet has been removed in the Newton release. These options remain for backwards compatibility because they are used for URL substitutions.). Its value may be silently ignored in the future.""",209
1eab9f82,"""Option """"dhcp_domain"""" from group """"DEFAULT"""" is deprecated for removal (""",3417
143a1952,"""Option """"firewall_driver"""" from group """"DEFAULT"""" is deprecated for removal (""",258
af27d0d6,"""Option """"force_snat_range"""" from group """"DEFAULT"""" is deprecated for removal (""",258
b1d8fcbc,"""Option """"use_baremetal_filters"""" from group """"filter_scheduler"""" is deprecated for removal (""",258
264ba4b2,"""Option """"live_migration_uri"""" from group """"libvirt"""" is deprecated for removal (""",259
5cf6b45f,AuthToken middleware is set with keystone_authtoken.service_token_roles_required set to False. This is backwards compatible but deprecated behaviour. Please set this to True.,259
3b4c7c73,"""Option """"public_port"""" from group """"DEFAULT"""" is deprecated. Use option """"public_port"""" from group """"eventlet_server"""".""",76
15081a26,"""Option """"admin_bind_host"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_bind_host"""" from group """"eventlet_server"""".""",72
19bc5f9c,"""Option """"admin_port"""" from group """"DEFAULT"""" is deprecated. Use option """"admin_port"""" from group """"eventlet_server"""".""",71
904acae4,Deprecated: authenticate of the v2 Authentication APIs is deprecated as of Mitaka in favor of a similar function in the v3 Authentication APIs and may be removed in T.,612
8fbcaef2,"<*> """"PUT v2.0 <*> <*> HTTP 1.1"""" status: 200 len: <*> time: <*>",2971
27410910,neutron CLI is deprecated and will be removed in the future. Use openstack CLI instead.,873
10b56710,Create instance <*> and boot it.,873
6adf97f8,None,873
2babe530,Details:,873
ca263171,........image name = <*>,873
7182e0a5,........network = <*>,873
b4af6ff7,........security group = <*>,873
1646b311,........key name = <*>,873
4e2497e3,openstack server create --flavor m1.tiny --image <*> --nic <*> --security-group <*> --key-name <*> <*>,1592
158bc811,HTTP exception thrown: Impossibile trovare la tipologia m1.tiny.,796
1152f528,api_servers with fully qualified url including scheme (http https),18538
2e63aaa5,"A valid token was submitted as a service token, but it was not a valid service token. This is incorrect but backwards compatible behaviour. This will be removed in future releases.",2722
43838316,"<*> """"GET v2.0 <*> = <*> = <*> HTTP 1.1"""" status: 200 len: <*> time: <*>",9577
555fe965,<*> instance is not in ACTIVE state (status <*> <*> wait: <*> sec,1513
b992222b,Updating bandwidth usage cache,421
67e96752,Bandwidth usage not supported by hypervisor.,418
3cf912e7,"<*> """"GET <*> <*> HTTP 1.1"""" status: <*> len: <*> time: <*>",109405
d0395c88,"""10.0.20.24 """"GET <*> <*> <*> status: 200 len: <*> <*> <*>",779
71203b51,<*> instance is not in ACTIVE state (status <*>,1923
30f03bda,"<*> """"PUT placement allocations <*> status: 204 len: 0 microversion: 1.10""",791
7b91c81f,"Attempting claim on node localhost.localdomain: memory 512 MB, disk 1 GB, vcpus 1 CPU",716
04fbd2dc,"Total di memoria: 16383 MB, used: <*> MB",607
3076431a,"di memoria limit: 24574.50 MB, free: <*> MB",617
4d90d03a,"disco limit: 143.00 GB, free: <*> GB",586
b51d1b4e,"Total vcpu: 8 VCPU, used: <*> VCPU",581
08d43131,"vcpu limit: 128.00 VCPU, free: <*> VCPU",745
fd65a5f7,Claim successful on node localhost.localdomain,745
7d8b6b51,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",153
2368ba13,Creating image,730
943309cb,"""""""GET v2 images <*> file HTTP 1.1"""" 200 12716291 <*>",1515
57ee55c5,Running privsep helper:,717
8addabe3,Creating event <*> for instance <*> on localhost.localdomain,5345
bfe3c2dc,"Nova event response: <*>u'status': u'completed', u'tag': <*> u'name': <*> u'server_uuid': <*> u'code': 200}",5342
365b0598,privsep daemon starting,717
5a40cee7,privsep process running with uid gid: 0 0,717
62c77ac0,privsep daemon running as pid <*>,717
93302cb2,Spawned new privsep daemon via rootwrap,717
c6997dc1,Successfully plugged vif <*>,1373
7e4c0cc9,VM Avviato (Lifecycle Event),1351
06e3c7db,VM In pausa (Lifecycle Event),699
158153e3,During sync_power_state the instance has a pending task <*> Skip.,1895
dc06b2db,VM Ripristinato (Lifecycle Event),2042
70439dff,Instance spawned successfully.,696
41a2da91,Took <*> seconds to <*> the instance on the hypervisor.,1390
7824976e,Took <*> seconds to build instance.,691
a0c9927d,tempest-INSTANCE_SAMPLE-1529976062 instance <*> <*>,4
e5675f94,Create floating ip for instance <*>,796
1413eba9,openstack floating ip create --project <*> public,1592
d80e04f7,"<*> """"GET 2009-04-04 meta-data public-keys 0 openssh-key HTTP 1.1"""" status: <*> len: <*> time: <*>",2646
672be73a,Could not find <*> <*> <*> Could not find <*> <*>,3492
bad50744,GET <*> v3 <*>,3492
b5e7cf04,Created floating IP <*>,796
fb23c5d8,Add floating IP <*> to instance <*>,796
5ac2bf2d,openstack ip floating add <*> <*>,1592
7260975b,HTTP exception thrown: Impossibile trovare l'istanza <*>,2146
17fc48e3,Device <*> already exists,685
e4c554dc,"<*> """"POST <*> <*> <*> <*> <*> HTTP 1.1"""" status: <*> len: <*> time: <*>",4204
49f1dd70,"""This command has been deprecated. Please use """"server add floating ip"""" instead.""",796
46e8c00e,Added floating IP <*> to instance <*>,796
4d312142,List all instances on tenants...,796
705643b1,nova list,1570
763d5c90,Create volume <*>,785
06380f71,openstack volume create --image <*> --size 1 --availability-zone nova <*>,1570
738ee853,POST <*> v2 <*> volumes,439
c36d9a6f,Create volume <*> <*> <*>,878
318a2988,Availability Zones retrieved successfully.,439
4ec40aaf,Deprecated: Quota predefinita per la risorsa: <*> ̬ impostato dall'indicatore quota predefinita: <*> ̬ ora obsoleta. Utilizzare la classe di quota predefinita per la quota predefinita.,1028
03dbcda1,<*> v2 <*> volumes returned with HTTP 202,439
b5926e2f,<*> volume status is not 'available' (status <*> <*> wait: <*> sec,3029
6f836261,", u'container_format': u'bare', u'created_at': datetime.datetime(2018, <*> <*> <*> <*> <*> tzinfo=<iso8601.Utc>), u'disk_format': u'qcow2', u'updated_at': datetime.datetime(2018, <*> <*> <*> <*> <*> tzinfo=<iso8601.Utc>), u'visibility': u'public', 'properties': <*>}, u'owner': <*> u'protected': False, u'id': <*> u'file': u' v2 images <*> file', u'checksum': u'443b7623e27ecf03dc9e01ee93f67afe', u'min_disk': 0, u'virtual_size': None, u'min_ram': 0, u'size': 12716032}}",426
b8f9fa4e,Image download 12.00 MB at <*> MB s,439
1a6940e4,GET 10.0.20.24:8776 <*> <*> volumes <*>,701
9e5acb06,Get all volumes completed successfully.,3407
a30a4752,<*> <*> <*> volumes <*> returned with HTTP <*>,5894
f7db18f2,Converted 44.00 MB image at <*> MB s,439
d3f509ca,Volume <*> <*> created successfully,439
e2807f5c,Created volume successfully.,439
3225db79,<*> volume status is <*>,1444
3802bfa6,Show volume list...,1461
24775af4,openstack volume list,2922
a690e058,Attach volume <*> to <*>,785
f4afa18c,openstack server add volume <*> <*> --device dev vdb,1352
